organCd,사용기관명,지역,주소,홈페이지 주소,전화번호,검색 키워드,대표 강좌 이름,위도,경도
xhKNkstfTeOB3yuzrSlHEw==,서울원격평생교육원,서울특별시 금천구,(08511) 서울특별시 금천구 디지털로9길 33 1206호,www.22s.kr,02 - 1544 - 2200,"사회복지사자격증 , 보육교사자격증 , 장애영유아보육교사",,37.4789129,126.8860804
UdpfGaoP15TSbq/lp5ATQA==,강릉뷰티아카데미학원,강원특별자치도 강릉시,(25546) 강원특별자치도 강릉시 경강로2255번길 5 3층,,033 - 647 - 2527,,,37.7652467,128.9084550
ew97HOyIlJEyuXO76CiRZw==,첨단겨자씨문화센터,광주광역시 광산구,(62279) 광주광역시 광산구 첨단강변로 94 첨단겨자씨문화센터,http://www.seedculture.co.kr/,062 - 972 - 2022,"피아노 , 플룻 , 드럼",라인댄스 | 바이올린 | 저녁 피아노 | 피아노 | 라인댄스,35.2148491,126.8531664
WzlYQKaYkyY8k/lnPqxpTA==,광주중장비학원,광주광역시 광산구,(62396) 광주광역시 광산구 손재로 45-16 광주중장비학원,,062 - 382 - 3330,,소형건설기계조종사 면허 취득 교육 지게차 | 소형건설기계조종사 면허 취득 교육 | 소형건설기계조종사 면허 취득 교육 | 지게차 기능사 자격증 취득 실기,35.1698036,126.7973096
6V/rnmAy8u4L3YmSlzCrBw==,경운대학교부설평생교육원,경상북도 구미시,(39160) 경상북도 구미시 산동읍 강동로 730 2호관 122호(평생교육원) 지도보기,https://www.ikw.ac.kr/edulife/main.tc,054 - 479 - 1143,"경운대학교 , 평생교육원 , 경운대학교평생교육원",골프비거리증대 | 시니어 건강 운동 지도자 과정 | 그림책 심리지도사 2급자격과정 | 방과후 아동지도사 자격과정 | 상담심리사과정(1년과정) | 감성 수채화 캘리그라피 자격과정 | 플라워스타일링자격과정 | AI디지털 필살기 10주완성 올인원 코스 | 한글 사주 성명학 | 챠밍모델워킹지도사자격과정,36.1678660,128.4676331
DmGSGEGdNZEvfA7wQRSarg==,신제주북경중국어학원,제주특별자치도 제주시,(63125) 제주특별자치도 제주시 삼무로 27 3층 신제주북경중국어학원,,064 - 711 - 8826,,,33.4901278,126.4895628
JwwLbTTl1fOvRYKvm5i6SA==,대상누수탐지기술학원,경상북도 경주시,(38205) 경상북도 경주시 외동읍 구어들밑길 42 대상누수탐지기술학원,https://xn--od1by81atqd6qdjsmc5g.com/,054 - 771 - 8537,"누수탐지 , 누수탐지창업 , 누수탐지사 자격증",누수탐지실습 | 누수탐지이론,35.6935880,129.3113365
DbxYZjNOHkp8Pi/7271eqA==,명장김덕규제과제빵바리스타학원,경상남도 김해시,(50948) 경상남도 김해시 구지로 20 KDK빌딩 5층,http://www.kdkacademy.co.kr/,010 - 9790 - 6610,"제과 , 제빵",제과기능장 실기 특강반 | 케이크 구움과자 실무과정 | 카페 디저트 (제과) 실무과정 | 카페 브레드 (제빵) 실무과정 | 제과제빵1일특강반 | 제과제빵1일체험반 | 제과제빵중급1일체험반 | 제과제빵고급1일체험반 | 제빵기능사 자격증 취득과정 (실기) | 제과기능사 자격증 취득과정 (실기),35.2409441,128.8658618
nPwA9NavQypERjyvGDVOVA==,유한책임회사클라크중장비운전학원,경기도 양주시,(11502) 경기도 양주시 백석읍 연곡로124번길 23-42 클라크중장비운전학원,http://xn--9w3bn7kn1aky82cvdw07g.com/,031 - 855 - 9948,"지게차 , 굴착기 , 중장비",,37.8141080,126.9634169
PsA146CKfuw1RZfs5H1QMA==,계룡컴퓨터학원,대전광역시 중구,(34998) 대전광역시 중구 문화로 174 2/3층,https://blog.naver.com/krcomin,042 - 584 - 9797,"컴퓨터 자격증 , 엑셀 , 파워포인트",일러스트 | 포토샵 | 컴퓨터활용능력 2급 실기 | ITQ 엑셀 | ITQ 파워포인트 | ITQ 한글 | 엑셀실무 | 파워포인트실무 | 한글실무 | 한글실무,36.3142150,127.4045552
ZH/A3h+qFQtLXDItIkNsmA==,메디앤필라테스평생교육원,경기도 안양시,(13925) 경기도 안양시 동안구 관악대로 91 802호,,031 - 444 - 1926,"필라테스그룹레슨 , 필라테스개인레슨 , 운동재활",,37.3989076,126.9338453
UO6f4/getcdip/Q+Cu7cTA==,퓨어공방,부산광역시 부산진구,(47388) 부산광역시 부산진구 엄광로44번길 12 12,,010 - 9098 - 7272,"스칸디아모스 , 공방 , 부산진구",스칸디아모스 만들기3 | 스칸디아모스 만들기2 | 스칸디아모스 만들기1,35.1476368,129.0210519
DwDworz8INseuqUD/DlSiw==,제주장애인평생교육센터,제주특별자치도 제주시,(63309) 제주특별자치도 제주시 첨단로 203 3~4층,,064 - 722 - 9528,,,33.4542019,126.5717054
mMCxEfaHAEgvc1pM45BH+A==,영남제과제빵아카데미학원,대구광역시 중구,(41931) 대구광역시 중구 서성로 7 영남제과제빵아카데미,http://ynbc.co.kr/gnuboard4/,053 - 257 - 7798,"제과 제빵 케이크 , 커피 바리스타 , 떡",제과제빵 홈베이킹 | 커피 바리스타 | 제과제빵 홈베이킹,35.8672383,128.5866710
2j0pjBs5xJABe8EJ/kmVWQ==,봄봄,전라남도 나주시,(58325) 전라남도 나주시 문화로 244 4층,https://blog.naver.com/in_bombom,061 - 336 - 6240,,일대일 원어민 화상 일본어 | 러닝클래스 | 셔플댄스 | 소그룹 기초 발레핏 | 아름다운라인 소도구 필라테스 | 코어강화 매트소도구 필라테스 | 파워줌바댄스 | 쏭쏭 베이비마사지/성장요가 | 힙합리듬 코레오(댄스기초반) | 일대일 피아노 개인레슨,35.0204305,126.7853484
6aWdhSiOQlrUCPy90DfLVA==,모두의요리아카데미,경기도 수원시,(16705) 경기도 수원시 영통구 청명남로28번길 2 6층,www.moducook.com,031 - 202 - 2792,,원데이 요리과정_A,37.2519007,127.0752405
RrVsZKfUdkzu2MgNKrq9uA==,청주한국바리스타커피학원,충청북도 청주시,(28516) 충청북도 청주시 상당구 용담로 7 상가2층 220호 221호 지도보기,baristaschool.org,010 - 2304 - 9605,"바리스타학원 , 커피학원 , 카페창업",,36.6329307,127.4918642
5pwdcbXY635DkhUn6i/TEA==,천안중장비자동차정비학원,충청남도 천안시,(31112) 충청남도 천안시 서북구 두정공단1길 69-4,http://www.cahis.co.kr/,041 - 569 - 9912,"지게차 , 굴착기 , 기중기",롤러운전기능사(정규실기) | 자동차정비기능사(정규실기) | 기중기운전기능사(필기실기) | 굴착기운전기능사(필기실기) | 지게차운전기능사(필기실기) | 3톤미만굴착기 이수교육 | 3톤미만지게차 이수교육 | 3톤미만지게차(상시),36.8359095,127.1577260
7O7aD8/gcqDXsSWfEHwghg==,필라테스세움평생교육원,서울특별시 종로구,(03189) 서울특별시 종로구 종로10길 5 4층 지도보기,,010 - 3278 - 7214,"종각필라테스 , 종로필라테스 , 광화문필라테스",,37.5698566,126.9845389
DD568HpBOWSxyrUXUm/v3A==,중앙컴퓨터직업전문학원,제주특별자치도 서귀포시,(63595) 제주특별자치도 서귀포시 태평로 446 2층,,064 - 762 - 0377,"서귀포 , 컴퓨터 , 평생교육",,33.2461535,126.5676389
nTP58MFQqk/Pjd5yYL7aNQ==,성북발달장애인평생교육센터,서울특별시 성북구,(02796) 서울특별시 성북구 종암로 18 거산프라자 3-4층 성북발달장애인평생교육센터,http://seongbukedu.or.kr/main/index.php,02 - 909 - 7901,,,37.5921755,127.0367045
gIq1HgmwQvF71OFybfPV6A==,인천광역시교육청평생학습관,인천광역시 연수구,(21977) 인천광역시 연수구 경원대로 73 인천광역시교육청평생학습관,www.ilec.go.kr,032 - 899 - 1588,,,37.3982308,126.6721591
U751ILKYGe7e9SDydgCeUQ==,가나안평생교육원,서울특별시 영등포구,(07413) 서울특별시 영등포구 도림로 153 4층 지도보기,jeiledu.kr/admin,02 - 831 - 9550,"가사서비스 , 서울형가사서비스 , 가사도우미",,37.4942665,126.8986210
9RXfypy6uaQm4Hxrb/N/LA==,목포자동차운전전문학원,전라남도 무안군,(58551) 전라남도 무안군 청계면 영산로 1743-27 목포자동차운전전문학원,,061 - 454 - 1183,"운전면허 , 운전학원 , 최저가 운전학원",,34.9121672,126.4270612
pw+oYNQqf3TkzB4HiCp+EQ==,개금바리스타학원,부산광역시 부산진구,(47323) 부산광역시 부산진구 가야대로 454 4층 401호 개금바리스타학원,https://blog.naver.com/gaegeumbarista,051 - 893 - 8801,"커피 , 바리스타 , 커피학원",바리스타 2급/1급 통합반 | 바리스타1급 | 바리스타2급[개인반] | 바리스타2급[정규반],35.1529094,129.0216830
ZV2436LEvGMoaDGQIt01nA==,구몬스마일,서울특별시 중구,(04539) 서울특별시 중구 을지로 51 교원내외빌딩 7층,https://ksmile.kumon.co.kr/,02 - 397 - 2983,"구몬성인화상영어 , 구몬성인화상일어 , 구몬성인화상중국어",성인 스윙스 일본어한자 패키지 | 성인 스윙스 수학 | 성인 스윙스 국어,37.5664963,126.9836985
1cFieWr3ghoBYL09e5qkXA==,룩스필라테스평내호평역점평생교육원,경기도 남양주시,"(12150) 경기도 남양주시 늘을2로 20 701,702호 룩스필라테스 평내호평역점",https://blog.naver.com/lookspilates33,031 - 591 - 7775,,,37.6544952,127.2441105
nClK/oanwPJrBZm+fCIj/A==,마인드인심리상담교육센터,대구광역시 수성구,(42209) 대구광역시 수성구 지범로 188 청구리빙월드 507호,https://blog.naver.com/mindincenter,053 - 290 - 6486,"심리상담교육 , 타로 , 임상심리사",,35.8207946,128.6395144
YX8xn7bwsnTXnWltOglnkw==,세잔컴퓨터디자인학원,경상북도 포항시,"(37780) 경상북도 포항시 북구 중흥로 224 4층, 세잔컴퓨터디자인학원",www.phdesign.co.kr,054 - 281 - 7667,"CAD , 컴활 , 캐드",,36.0231355,129.3587071
bfOHezcN83P1xsebejCYoA==,포천회계컴퓨터학원,경기도 포천시,(11146) 경기도 포천시 중앙로119번길 34 2층,www.koreacom02.co.kr,031 - 532 - 8552,,전산회계 | 경리실무 | 컴퓨터(워드) | 컴퓨터(컴활) | 경리실무 | 컴퓨터(컴활) | 컴퓨터(워드) | 컴퓨터(워드) | 전산회계 | 경리실무,37.8980567,127.1994723
LfOnF4m/s8De455mU3iVJg==,필라테스케밍상도점평생교육원,서울특별시 동작구,(06965) 서울특별시 동작구 양녕로 257 3층,,010 - 5138 - 9609,,,37.5031673,126.9472949
/H17cbP7QYT8666GOubO5Q==,메소드필라테스평생교육원,전북특별자치도 완주군,(55365) 전북특별자치도 완주군 이서면 안전로 163 404호,www.methodpsy.com,063 - 222 - 5695,"필라테스 , 요가 , 운동",소도구필라테스,35.8387621,127.0581486
SXR1HIDpqW/r2qvHOEdjZQ==,엔리치필라테스운정점평생교육원,경기도 파주시,(10892) 경기도 파주시 교하로 79 201호 엔리치필라테스,,010 - 5592 - 4099,"필라테스 , 체형개선 , 체력증진",,37.7283246,126.7334348
doOJNrIriZSaiYxGTuQFGA==,팔마바리스타학원,전라남도 순천시,(57956) 전라남도 순천시 남문천변길 20 팔마바리스타학원,,010 - 7942 - 8037,,,34.9526984,127.4850574
99KzkKHqOcPzja+8FAEGeg==,군산시발달장애인평생학습관,전북특별자치도 군산시,(54042) 전북특별자치도 군산시 성산면 강변로 459 장애인체육관 1층(군산시발달장애인평생학습관),www.gunsan.go.kr,063 - 454 - 5922,,,36.0095850,126.7576762
rkBiLeY/Fv6MQFxd7ZNc9g==,롯데마트서대전점문화센터평생교육원,대전광역시 유성구,(34223) 대전광역시 유성구 유성대로 26-37 롯데마트 서대전점 문화센터 3층,https://culture.lottemart.com/cu/branch/main.do?search_str_cd=504,042 - 540 - 2590,"롯데마트 문화센터 , 서대전점 문화센터 , 성인 평생교육",활기찬 삶 액티브 시니어모델 워킹클래스 | 셀프건강클리닉 이혈테라피 | 1000kcal 빠지는 다이어트 방송댄스 | 날씬한허리 코어근육 강화 S라인 밸리댄스 | 국가무형문화재 97호 도살풀이 전수자 강의 한국무용 <도살풀이춤> | 국가무형문화재 97호 도살풀이 전수자 강의 한국무용 <기초반> | 신나는 하루 룰루랄라 라인댄스(화목) | 쉽게 재미있게 살빼는 라인댄스(월수) | 직장인을 위한 살쪽쪽 빠지는 라인댄스 | [4주 주2회]다이어트 실속요가(월금),36.3005081,127.3248293
a+iV64h4QWiUcjVRoZ5MoQ==,마창자동차운전전문학원,경상남도 창원시,(51403) 경상남도 창원시 의창구 팔용로 315 마창자동차운전전문학원 지도보기,www.machangcar.co.kr,055 - 291 - 8383,"운전면허 , 운전연수",,35.2483613,128.6055427
W5fh5PifU48CDTbxx8nhKA==,대구제과제빵커피학원,대구광역시 중구,(41943) 대구광역시 중구 달구벌대로 2109-18 3층,http://www.tgbakery.co.kr/,010 - 3534 - 4277,"제과제빵 , 케이크데코레이션 , 디저트커피",커피바리스타2급과정 | 하나부터 열까지 수제케이크 만들기 | 카페디저트실무과정 | 커피바리스타2급과정 | 떡제조기능사 | 떡디저트실무과정 | 원데이클래스,35.8660254,128.5945771
WpTWQS+Ct8KgOo4Hs48MWg==,전주여성인력개발센터,전북특별자치도 전주시,"(55106) 전북특별자치도 전주시 완산구 장승배기로 213 3,4층",http://www.jjwoman.or.kr,063 - 232 - 2346,"전주여성인력개발센터 , 여성직업교육 , 정리수납전문가",,35.7970370,127.1356402
4xLSWZMrflAA1ju7R5Qapg==,수가인뷰티아카데미수원학원,경기도 수원시,(16453) 경기도 수원시 팔달구 고등로 32 sj타워 7층 9호 10호,soogain.com,031 - 242 - 0277,"피부자격증 , 왁싱 , 속눈썹연장",메이크업단과반 | 왁싱단과반 | 속눈썹펌정규반 | 속눈썹연장속성반 | 윤곽메이크업드로잉 | 네일아트단과반 | 피부단과반 | 두피과정정규반 | 헤어스트록정규반 | 피부국가자격증속성반,37.2727263,127.0004902
zm5+TvOY1JNFvvU+2qjqNA==,몸이야수완점평생교육원,광주광역시 광산구,(62306) 광주광역시 광산구 임방울대로 338 801호,,010 - 2013 - 7756,"수완지구필라테스 , 광산구필라테스 , 광주필라테스",,35.1900792,126.8242300
HFuPXe0T/jYSjsaVfAylgg==,에스비에스(SBS)아카데미뷰티스쿨학원,강원특별자치도 원주시,(26484) 강원특별자치도 원주시 서원대로 408 6,,033 - 762 - 0770,"헤어커트 , 미용 , 네일",메이크업3급,37.3299891,127.9500079
SIjJQeWi3+cYJDtHzbdLMw==,윈컴퓨터학원,경상북도 구미시,(39181) 경상북도 구미시 옥계북로1길 4-10 2층,,054 - 476 - 7119,"구미시 , 엑셀 , 컴퓨터활용능력",,36.1388754,128.4199996
JtNrsdG0Uf7ORwhVgB5erw==,와우에듀평생교육원,경상남도 창원시,(51356) 경상남도 창원시 마산회원구 3·15대로 780 6층,https://www.wowedu.co.kr/voucher.wow,1544 - 0942,"공무원, 군무원 , 소방, 자격증 , 전기기사, 기계기사",공기업대비 기계일반 | 와우에듀 자격증과정(강좌소개참고) | 전기기사 (필기실기) | 일반기계기사 (필기실기) | 에너지관리기사 (필기실기) | 9급 운전직공무원 | 소방공무원 소방직 | 9급 군무원 | 9급공무원 기술직 | 9급공무원 행정직,35.2409065,128.5848819
BJU6Zy4RosQ1f9DGqAyzzA==,명문직업전문학교,인천광역시 계양구,"(21039) 인천광역시 계양구 경명대로 1051 5층, 6층",,032 - 881 - 7600,"컴퓨터활용능력2급 , ITQ , GTQ",회계기초와 전산회계2급 자격증과정,37.5438382,126.7237144
AhA+hH+N7st3ZGRnJWXtaA==,필라테스365상남점평생교육원,경상남도 창원시,"(51499) 경상남도 창원시 성산구 동산로 122 412,413 지도보기",,3703 -,"필라테스 , 건강 , 운동",,35.2184681,128.6904831
Fq++mSGuVh2KQfbXYLGutA==,수원여자대학부설평생교육원,경기도 수원시,(16632) 경기도 수원시 권선구 온정로 72 미림관 105-1,http://cec.swc.ac.kr,031 - 290 - 8060,,,37.2522907,126.9636317
9wPGGT0rk+c6E7SktXzs5w==,켐탑에듀케이션원격평생교육원,인천광역시 연수구,(21990) 인천광역시 연수구 송도미래로 30 A동 1704호,https://chemtop.net/,032 - 818 - 0430,"화공기사 , 화공직 , 탄약직",7급 화공직 종합반(75일) | 7급 화공직 종합반(150일) | [실기] 화공기사 (필답+작업) 무료연장,37.3668853,126.6484429
W89gx9EH/0yVR5v+hsJ9Ng==,딜라이트요가&필라테스평생교육원,서울특별시 동작구,(06953) 서울특별시 동작구 상도로 83 3층 지도보기,https://delightyogapilates.modoo.at/,02 - 815 - 4414,"필라테스 , 요가 , 플라잉요가",,37.4999228,126.9298870
z8k1dVEzWclFGllXoCQvYQ==,최선미패션디자인학원,경상북도 포항시,(37739) 경상북도 포항시 북구 죽도로 25 3층,,054 - 251 - 1810,"옷수선, 홈패션 , 옷만들기, 양재 , 패션디자인",,36.0343532,129.3639321
HuILhZzcYrewrTW6l/zXEw==,비엠커피학원,전북특별자치도 전주시,(54933) 전북특별자치도 전주시 덕진구 기린대로 385 3층 비엠커피학원,,010 - 8839 - 3396,"커피 , 바리스타 , 라떼아트",라떼아트 자격취득 과정 | 바리스타 자격취득 과정,35.8366840,127.1328363
q/E2WWVOTAlIeRsmNSjYYw==,필라테스린광명점평생교육원,경기도 광명시,(14328) 경기도 광명시 오리로 346 401호,,02 - 898 - 1380,,,37.4332917,126.8797979
ZisbBAK1pMduHsK8AtY5wQ==,화도읍주민자치센터,경기도 남양주시,(12173) 경기도 남양주시 화도읍 비룡로 59 화도읍주민자치센터,http://hwado.or.kr/src/,031 - 593 - 8493,"성인문해교육 , 직업능력향상교육 , 인문교양교육",,37.6579184,127.3006163
uJUQTdIDeXnOkLHKmySq+A==,케어앤평생교육원,경기도 화성시,(18390) 경기도 화성시 병점구 경기대로 1051 302호,https://blog.naver.com/babynote2016,031 - 375 - 3525,"산모신생아건강관리사 , 정리수납전문가 , 가사관리전문가",산모신생아건강관리사양성과정,37.2091212,127.0336903
4zZjmnkqn2tOkpUFiIICqw==,k-웰니스평생교육원,경기도 안산시,(15360) 경기도 안산시 단원구 고잔로 88 지스타프라자 601호,http://kimsyogapilates.com,031 - 480 - 3308,"요가 , 필라테스",,37.3187495,126.8360107
U1QGT0QU1FdHv+6a4zBUyg==,CMA실용음악학원,경기도 파주시,(10925) 경기도 파주시 한마음1길 40 대성빌딩 4층,http://www.cmamusic.co.kr,031 - 945 - 2090,"보컬 , 기타 , 드럼",,37.7573115,126.7710732
WtbvccrgiFy14Hp8IrAScQ==,조해성요리학원,충청북도 청주시,(28585) 충청북도 청주시 흥덕구 복대로 185 인승빌딩 9층,,043 - 236 - 5602,"청주요리학원 , 한식자격증 , 조리기능사 자격증",,36.6330928,127.4405498
/5lTNtplFA7of0oQ7wSGfQ==,와우쓰리디(WOW3D)홍대센터,서울특별시 마포구,(04068) 서울특별시 마포구 독막로 93 상수빌딩 4층 지도보기,wow3d.co.kr,02 - 3144 - 3137,"3D프린터운용기능사 , 퓨전 , 3D모델링","Fusion 활용 3D모델링 고급심화 | 3D프린터운용기능사 실기대비과정 | Fusion 활용 3D모델링 고급심화 | 스마트 제품개발을 위한 3D프린팅, 아두이노, 3D설계 실무과정 | 3D프린터운용기능사 실기대비과정",37.5479132,126.9237619
0CXM0+RXkeaRKhzRog2y6w==,미래컴퓨터학원,전라남도 광양시,(57795) 전라남도 광양시 공영로 64 4층 지도보기,,061 - 794 - 7297,"중마동 , 컴퓨터학원 , 자격증",,34.9357021,127.6960639
8nHkRMYZYsNkolEWjja1nA==,신세계댄스스포츠학원,대전광역시 대덕구,(34391) 대전광역시 대덕구 중리로 31 3층,,010 - 6437 - 3460,,웰빙 | 차차차 | 웰빙댄스 | 자이브 | 웰빙 | 룸바 | 자이브 | 웰빙댄스,36.3618276,127.4250762
Ajqqhsl6j+8TTxYPn2x5Bw==,디랜드목공기술학원,충청북도 청주시,"(28376) 충청북도 청주시 흥덕구 가로수로 1130 1, 2층",,043 - 233 - 9700,"가구제작 , 목공",,36.6262323,127.4224515
YUSLqRyU7f/tSlHhjhcUkQ==,프레그런스커피바리스타학원,경상북도 포항시,(37695) 경상북도 포항시 북구 양학로9번길 12-1 2층 프레그런스커피바리스타학원,,070 - 7798 - 0692,"커피바리스타 , 바리스타자격증 , 커피숍창업",,36.0239663,129.3505555
hQ6tuZRmmB2QxQpgts+5Cw==,요가바른평생교육원,경기도 광명시,(14316) 경기도 광명시 소하로 78 601호 지도보기,,0507 - 1322 - 9696,요가,,37.4479294,126.8833767
Thl4Y30UvoCl4Mue6NCD4g==,힘찬건설학원,충청남도 천안시,(31128) 충청남도 천안시 동남구 대흥로 258 1층,http://himchanedu.co.kr/,041 - 551 - 6114,"방수기능사 , 건축도장기능사 , 온수온돌기능사",,36.8108797,127.1488936
Qqsu3NcrMpDcmMQPE2rXgg==,청강아카데미평생교육원,서울특별시 종로구,(03189) 서울특별시 종로구 종로8길 21 남창빌딩 3층,https://chungkang1.com/,02 - 722 - 2866,"화훼장식기능사 , 플라워 꽃 , 꽃다발 꽃바구니",,37.5690769,126.9841353
jF4+++ksLocCw5n94x+1dg==,새동엔지니어링평생교육원,서울특별시 관악구,(08710) 서울특별시 관악구 당곡길 36 5층 503호,http://wingsdrone.wooripage.net/,02 - 836 - 5201,"국가드론자격증 , 파이션 드론 코딩 , 드론촬영",드론 국가자격증 이론반(학과+시뮬레이션),37.4909075,126.9289349
owsElwxphp7SZZlMTdfcWw==,성동여성인력개발센터,서울특별시 성동구,(04798) 서울특별시 성동구 성수이로22길 37 5층,sd.seoulwomanup.or.kr,02 - 3395 - 1500,평생교육,꽃차소믈리에(오전) | 점역교정사2급 자격취득(영어) | AI활용 숏폼 콘텐츠 제작 | 점역교정사 3급(국어) 시험대비 | 최신법무실무(등기) 입문 | 전산회계1급 자격취득 | 해외쇼핑몰(아마존) 입점실무 | 해외전자상거래(이베이 실무)&쇼피 | 정리수납2급 자격취득 | 엑셀실무(기초),37.5439142,127.0613915
+yVLgPOu2tptYpqs0VjZpw==,한라제과제빵학원,제주특별자치도 제주시,(63196) 제주특별자치도 제주시 동광로 31 4층,www.hallafood.net,064 - 722 - 7008,,,33.5023962,126.5320595
cRzA43Si+iVnxx9aoHSTwA==,인천일보아카데미,인천광역시 미추홀구,(22223) 인천광역시 미추홀구 매소홀로488번길 6-32 태승빌딩 5층 지도보기,https://www.icia.co.kr/senior,032 - 876 - 3332,"노인교육지도사 , 시니어교육 , 치매예방교육",시니어 뇌 건강  인지 큐레이터,37.4389000,126.6751245
lvZ+wifWkMyISOdceYPSjg==,광주목공아카데미학원,광주광역시 동구,(61421) 광주광역시 동구 무등로304번길 55 3층,https://cafe.naver.com/dongnediy,062 - 522 - 5982,"광주목공 , 목공교육 , 목공직업교육",목공을 배워요1(기초과정) | 목공자격증과정 | 목공을 배워요 2(기초과정) | 목공은 즐거워(전문가) | 목공을 배워요(기초과정) | 목공을 즐거워 | 목공을 배워요,35.1600123,126.9149754
6HdRPin4o2CfakmmLbjihg==,온봄평생교육원,대구광역시 동구,(41108) 대구광역시 동구 율하서로 42-1 101호-102호,,053 - 216 - 1801,,,35.8656040,128.6914972
zSt5znHcVdB/Gu1NtGNbdQ==,시에뷰티전문학원,충청남도 천안시,(31155) 충청남도 천안시 서북구 미라8길 33 3층 302호,,010 - 2114 - 4713,"천안미용학원 , 천안네일자격증 , 천안네일국가고시",,36.8030732,127.1308934
VWWHlHd1dVDIFwZEbCgMLw==,보이스레벨실용음악학원,광주광역시 동구,(61483) 광주광역시 동구 충장로안길 6 3층 지도보기,http://www.voicelevel.co.kr/,062 - 222 - 2366,"보컬 , 피아노 , 기타",,35.1484976,126.9142748
xD6gLQyTqSqFbng3qK04Lw==,드림컴퓨터학원,대구광역시 달서구,(42690) 대구광역시 달서구 장기로 245-1 (3층),,053 - 568 - 5577,"컴퓨터활용능력 1급 , 컴퓨터활용능력 2급 , 엑셀",[핵심콕콕] 컴퓨터활용능력 2급 필기+실기,35.8433562,128.5333811
gDHEyHPzmoA/MvBlGKgjIg==,솔므홈케어아카데미학원,경기도 고양시,(10253) 경기도 고양시 일산동구 문원길 91-4 1동 솔므,www.solmm.co.kr,00 - 1588 - 2252,"에어컨청소교육 , 에어컨 , 세탁기청소교육",,37.7150555,126.8162370
0uAMTuMtkg6lnFKK6oToDA==,에듀싸이미원격평생교육원,서울특별시 노원구,(01646) 서울특별시 노원구 덕릉로 792 3층 304호,https://www.edupsy.me/,010 - 7123 - 1727,"심리학 , 심리상담 , 상담심리",,37.6676946,127.0793112
YGX72UYr9jhBFhYeOAod+g==,아임필라테스평생교육원,서울특별시 강서구,(07563) 서울특별시 강서구 공항대로 519 202호,,02 - 2658 - 3377,,1:1 기구필라테스 | 4:1 기구필라테스 | 1:1 기구필라테스 | 4:1 기구필라테스,37.5517674,126.8641381
is7Pg8wWVn22c9h4+2YbCg==,대교해밀평생교육원,서울특별시 관악구,(08813) 서울특별시 관악구 호암로26길 64 2층 해밀원격평생교육원,www.hmstudy.com,02 - 1899 - 3052,"사회복지 , 평생교육 , 경영",평생교육프로그램개발론 | 사회복지정책론 | 사회복지행정론 | 지역사회복지론 | 가족상담및가족치료 | 경영학개론 | 경제학개론 | 리더십 | 인간관계론 | 사회복지학개론,37.4701947,126.9372185
VpneMiIimSvaP23tY/oo2w==,프랑스문화원알리앙스프랑세즈학원,광주광역시 북구,(61246) 광주광역시 북구 경열로 217 청운빌딩 2층,www.afgwangju.co.kr,010 - 2800 - 2503,"프랑스어 , 외국어자격증 , 델프 달프",,35.1589529,126.9060589
3EpDwjHU2v3KkKGJFNmwkw==,헤이감성음악학원,인천광역시 서구,(22866) 인천광역시 서구 이음대로 388 ABM타워 7층 헤이감성음악학원,https://www.instagram.com/hey_gamsung,010 - 3220 - 5152,"보컬학원 , 드럼학원 , 기타학원",,37.5930779,126.7127038
ZSELnBPZli1CR9OEy5HdOA==,포토리딩평생직업교육학원,울산광역시 남구,"(44662) 울산광역시 남구 문수로358번길 10 3층,포토리딩평생직업교육학원",http://photoreading.co.kr,070 - 7716 - 0102,"독서지도사 , 속독지도사 , 포토리딩트레이너",,35.5332349,129.2920343
BqKn8Wm1rLUSdZRwbj6jzw==,고은복지평생교육원,대구광역시 남구,"(42483) 대구광역시 남구 대명로 60-2 2층, 고은복지평생교육원",,053 - 476 - 7088,"노래 , 체조 , 댄스",,35.8388814,128.5640198
LwwpkrYwXaoWebkBjZnB+w==,휴스피치학원,서울특별시 강남구,(06240) 서울특별시 강남구 테헤란로4길 27 4층 휴스피치 학원,huspeech.com,02 - 552 - 3041,"프레젠테이션 스킬 , 비즈니스 스피치발표 , 면접 스피치",,37.4967070,127.0304396
g09/HRVotEciHp3cW2Rw4w==,맘보바리스타제과제빵학원부천지점,경기도 부천시,(14544) 경기도 부천시 원미구 상동로 87 가나베스트타운건물 8층 808호,,0507 - 1389 - 5744,,,37.5052289,126.7524429
ECZQj6tndM9NOvLnnbYENg==,"필라테스,그이상평생교육원",서울특별시 강동구,(05222) 서울특별시 강동구 고덕로 399 1동231호,,02 - 427 - 8777,"운동 , 필라테스 , 체형교정",,37.5577308,127.1701748
qDNhab8eo5DD8thXRXw0Uw==,관인미솔꽃조경학원,인천광역시 서구,"(22883) 인천광역시 서구 염곡로464번길 15 705,708,709호",https://misolland.co.kr,032 - 545 - 5655,"조경 , 산림 , 산업안전",,37.5263928,126.6711075
g/YGOB6N901m6OCletMTwQ==,꽃이필라&꽃이피지오스튜디오(studio)평생교육원,경기도 양주시,(11473) 경기도 양주시 옥정동로7다길 46 폴리프라자4차 6층 607~610호,,010 - 2438 - 4311,"필라테스 , 요가 , 번지피지오",,37.8194618,127.0928169
R2eHeqD+H6W4cqv2yekKEA==,울산광역시장애인종합복지관,울산광역시 중구,(44418) 울산광역시 중구 백양로 160 울산광역시장애인종합복지관 가족문화지원팀,www.ulsanrehab.or.kr,052 - 248 - 5912,"하모니카 , 바둑 , 민화",기타교실,35.5770323,129.3220001
